0.095,41.033
0.1,29.682
0.105,24.254
0.109,21.786
0.114,19.812
0.119,19.319
0.124,18.332
0.129,19.812
0.133,19.319
0.138,18.825
0.143,18.825
0.148,18.332
0.153,17.838
0.157,17.838
0.162,17.838
0.167,17.345
0.172,15.864
0.177,16.358
0.181,19.319
0.186,19.319
0.191,18.825
0.196,18.825
0.201,17.838
0.205,18.332
0.21,17.838
0.215,18.332
0.22,19.319
0.225,19.319
0.229,17.838
0.234,19.319
0.239,19.319
0.244,18.825
0.249,18.825
0.253,18.825
0.258,18.825
0.263,18.332
0.268,18.332
0.273,18.332
0.277,18.332
0.282,20.306
0.287,19.319
0.292,19.319
0.297,18.825
0.302,18.825
0.306,18.825
0.311,18.825
0.316,18.332
0.321,18.332
0.326,18.332
0.335,20.306
0.34,19.319
0.345,18.825
0.35,18.825
0.354,18.825
0.359,18.825
0.364,18.825
0.369,18.825
0.378,18.332
0.383,18.332
0.388,19.319
0.393,19.319
0.398,19.319
0.402,19.319
0.407,18.825
0.412,18.825
0.417,18.825
0.422,18.825
0.426,18.332
0.431,18.825
0.436,19.812
0.441,19.319
0.446,19.319
0.455,18.825
0.46,18.332
0.465,19.319
0.47,18.825
0.474,18.825
0.479,18.825
0.484,18.825
0.489,19.812
0.494,17.345
0.498,19.319
0.503,20.306
0.508,19.319
0.513,18.825
0.518,19.319
0.523,18.825
0.527,19.812
0.532,18.825
0.537,18.825
0.542,19.812
0.547,20.306
0.551,19.812
0.556,19.812
0.561,20.306
0.566,20.306
0.571,20.799
0.575,19.812
0.58,20.306
0.585,20.306
0.59,20.799
0.595,21.293
0.599,20.306
0.604,21.293
0.609,21.293
0.614,21.293
0.619,21.786
0.623,21.786
0.628,22.28
0.633,22.28
0.638,22.28
0.647,24.254
0.652,25.241
0.657,25.241
0.662,25.734
0.667,26.228
0.671,26.721
0.676,26.721
0.681,27.215
0.686,28.202
0.691,29.682
0.695,31.163
0.7,32.643
0.705,33.63
0.71,34.617
0.715,35.605
0.72,37.085
0.724,39.553
0.729,40.54
0.734,43.007
0.739,46.462
0.744,53.37
0.748,60.279
0.744,66.695
0.739,63.24
0.734,56.331
0.729,45.475
0.724,38.566
0.72,33.63
0.715,29.682
0.705,23.76
0.7,21.293
0.695,19.319
0.691,15.864
0.686,16.358
0.681,13.89
0.676,12.903
0.671,11.916
0.667,11.423
0.662,10.929
0.657,9.942
0.652,10.929
0.647,9.449
0.643,8.955
0.638,9.449
0.633,8.462
0.628,5.994
0.623,7.475
0.619,6.981
0.614,7.968
0.609,6.981
0.604,6.981
0.599,6.981
0.595,6.981
0.59,6.981
0.585,7.475
0.58,6.488
0.575,5.994
0.571,5.994
0.566,5.994
0.561,5.994
0.556,5.994
0.551,6.981
0.547,5.994
0.542,5.501
0.537,5.994
0.532,5.994
0.527,5.501
0.523,5.501
0.518,5.501
0.513,5.501
0.508,5.007
0.503,5.501
0.498,5.007
0.494,5.501
0.489,5.501
0.484,5.501
0.479,5.501
0.474,5.007
0.47,5.994
0.465,5.007
0.46,5.501
0.455,5.007
0.45,5.501
0.446,5.007
0.441,5.501
0.436,6.488
0.431,5.007
0.426,5.007
0.422,5.501
